EN - Category Level 1,EN - Category level 2,EN - Category level 3,Tree
Household Items,Dishwashing,"Pastes, Tablets & Others","Household Items > Dishwashing > Pastes, Tablets & Others"
Household Items,Dishwashing,Regular Dishwashing Liquid,Household Items > Dishwashing > Regular Dishwashing Liquid
Household Items,Dishwashing,Sponges,Household Items > Dishwashing > Sponges
Household Items,Dishwashing,Washing Pods,Household Items > Dishwashing > Washing Pods
Household Items,Drinkware,,Household Items > Drinkware
Household Items,Electrical,Batteries,Household Items > Electrical > Batteries
Household Items,Fresheners,Air fresheners,Household Items > Fresheners > Air fresheners
Household Items,Fresheners,Car fresheners,Household Items > Fresheners > Car fresheners
Household Items,Fresheners,Dehumidifiers,Household Items > Fresheners > Dehumidifiers
Household Items,Fresheners,Deodorisers,Household Items > Fresheners > Deodorisers
Household Items,Home Cleaners,Bathroom,Household Items > Home Cleaners > Bathroom
Household Items,Home Cleaners,Disinfectants,Household Items > Home Cleaners > Disinfectants
Household Items,Home Cleaners,Floor,Household Items > Home Cleaners > Floor
Household Items,Home Cleaners,Furniture & Glass Cleaner,Household Items > Home Cleaners > Furniture & Glass Cleaner
Household Items,Home Cleaners,Home Accessories,Household Items > Home Cleaners > Home Accessories
Household Items,Home Cleaners,Kitchen,Household Items > Home Cleaners > Kitchen
Household Items,Home Cleaners,Shoe Care,Household Items > Home Cleaners > Shoe Care
Household Items,Home Decoration,,Household Items > Home Decoration
Household Items,Home Necessities,,Household Items > Home Necessities
Household Items,Laundry Care,Bleaches,Household Items > Laundry Care > Bleaches
Household Items,Laundry Care,Fabric Conditioners,Household Items > Laundry Care > Fabric Conditioners
Household Items,Laundry Care,Fabric Softeners,Household Items > Laundry Care > Fabric Softeners
Household Items,Laundry Care,Laundry Aids,Household Items > Laundry Care > Laundry Aids
Household Items,Laundry Care,Stain Removers,Household Items > Laundry Care > Stain Removers
Household Items,Laundry Care,Fabric Freshener,Household Items > Laundry Care > Fabric Freshener
Household Items,Laundry Detergents,Concentrate Liquids,Household Items > Laundry Detergents > Concentrate Liquids
Household Items,Laundry Detergents,Delicate Liquids,Household Items > Laundry Detergents > Delicate Liquids
Household Items,Laundry Detergents,Low Suds Powder,Household Items > Laundry Detergents > Low Suds Powder
Household Items,Laundry Detergents,Regular Liquids,Household Items > Laundry Detergents > Regular Liquids
Household Items,Laundry Detergents,Regular Powder,Household Items > Laundry Detergents > Regular Powder
Household Items,Paper & Tissue,Dry & Wet Wipes,Household Items > Paper & Tissue > Dry & Wet Wipes
Household Items,Paper & Tissue,Facial Tissues,Household Items > Paper & Tissue > Facial Tissues
Household Items,Paper & Tissue,Kitchen Towels,Household Items > Paper & Tissue > Kitchen Towels
Household Items,Paper & Tissue,Toilet Paper,Household Items > Paper & Tissue > Toilet Paper
Household Items,Pest Control,"Baits, Traps & Devices","Household Items > Pest Control > Baits, Traps & Devices"
Household Items,Pest Control,Insect Repellents,Household Items > Pest Control > Insect Repellents
Household Items,Pest Control,Insecticides & Insect Killers,Household Items > Pest Control > Insecticides & Insect Killers
Household Items,Religious Items,,Household Items > Religious Items
Household Items,Household Sundries,Storage Bags,Household Items > Household Sundries > Storage Bags
Household Items,Household Sundries,Garbage Bags,Household Items > Household Sundries > Garbage Bags
Household Items,Kitchenware,,Household Items > Kitchenware
Ice Cubes,,,Ice Cubes
Ice Cream,Ice Cream Cup,,Ice Cream > Ice Cream Cup
Ice Cream,Handpacked Ice Cream,,Ice Cream > Handpacked Ice Cream
Ice Cream,Ice Cream Party Pack,,Ice Cream > Ice Cream Party Pack
Ice Cream,Ice Cream Cake,,Ice Cream > Ice Cream Cake
Ice Cream,Ice Cream Scoop,,Ice Cream > Ice Cream Scoop
Ice Cream,Ice Cream Pint,,Ice Cream > Ice Cream Pint
Ice Cream,Ice Cream Tub,,Ice Cream > Ice Cream Tub
Ice Cream,Ice Cream Stick,,Ice Cream > Ice Cream Stick
Ice Cream,Sorbet,,Ice Cream > Sorbet
Lifestyle,Gadgets & Accessories,Mobile Phone & Tab,Lifestyle > Gadgets & Accessories > Mobile Phone & Tab
Lifestyle,Gadgets & Accessories,Accessories & Others,Lifestyle > Gadgets & Accessories > Accessories & Others
Lifestyle,Other Accessories,,Lifestyle > Other Accessories
Lifestyle,Stationery,,Lifestyle > Stationery
Limited Time Promo,,,Limited Time Promo
Local Desserts,Kuih,,Local Desserts > Kuih
Massive Deals,,,Massive Deals
Meals,Bento,,Meals > Bento
Meals,Oden,,Meals > Oden
"Meat, Poultry & Seafood",,,"Meat, Poultry & Seafood"
Medical Equipment & Test Kit,,,Medical Equipment & Test Kit
Merchandise,,,Merchandise
Mother & Baby,Baby Care,,Mother & Baby > Baby Care
Mother & Baby,Baby Food,,Mother & Baby > Baby Food
Mother & Baby,Bathing Necessities,,Mother & Baby > Bathing Necessities
Mother & Baby,Bedding Accessories,,Mother & Baby > Bedding Accessories
Mother & Baby,Body Care Essentials,,Mother & Baby > Body Care Essentials
Mother & Baby,Bottle Feeding,,Mother & Baby > Bottle Feeding
Mother & Baby,Breastfeeding,,Mother & Baby > Breastfeeding
Mother & Baby,Children Books,,Mother & Baby > Children Books
Mother & Baby,Diapers,,Mother & Baby > Diapers
Mother & Baby,Formula Milk,,Mother & Baby > Formula Milk
Mother & Baby,Nursing & Safety,,Mother & Baby > Nursing & Safety
Mother & Baby,Toys,,Mother & Baby > Toys
Natural by Watsons,,,Natural by Watsons
New Arrival,,,New Arrival
Oats,,,Oats
Only at Watsons,,,Only at Watsons
Party Supplies,Party Accessories,Candle,Party Supplies > Party Accessories > Candle
Party Supplies,Party Accessories,Face Paint,Party Supplies > Party Accessories > Face Paint
Party Supplies,Party Accessories,Invitation Cards,Party Supplies > Party Accessories > Invitation Cards
Party Supplies,Party Accessories,Party Clappers & Sound Makers,Party Supplies > Party Accessories > Party Clappers & Sound Makers
Party Supplies,Party Accessories,Party Hats,Party Supplies > Party Accessories > Party Hats
Party Supplies,Party Accessories,Party Masks,Party Supplies > Party Accessories > Party Masks
Party Supplies,Party Accessories,Party Poppers,Party Supplies > Party Accessories > Party Poppers
Party Supplies,Party Accessories,Photo Props,Party Supplies > Party Accessories > Photo Props
Party Supplies,Party Accessories,Sashes,Party Supplies > Party Accessories > Sashes
Party Supplies,Party Accessories,Sprays,Party Supplies > Party Accessories > Sprays
Party Supplies,Party Decorations,Balloons,Party Supplies > Party Decorations > Balloons
Party Supplies,Party Decorations,Banners,Party Supplies > Party Decorations > Banners
Party Supplies,Party Decorations,Confetti,Party Supplies > Party Decorations > Confetti
Party Supplies,Party Decorations,Danglers,Party Supplies > Party Decorations > Danglers
Party Supplies,Party Decorations,Flags,Party Supplies > Party Decorations > Flags
Party Supplies,Party Decorations,Glowsticks,Party Supplies > Party Decorations > Glowsticks
Party Supplies,Party Decorations,Ribbons,Party Supplies > Party Decorations > Ribbons
Party Supplies,Party Favours,Craft Bags,Party Supplies > Party Favours > Craft Bags
Party Supplies,Party Favours,Loot Bags,Party Supplies > Party Favours > Loot Bags
Party Supplies,Party Favours,Mini Toys,Party Supplies > Party Favours > Mini Toys
Party Supplies,Party Favours,Party Boxes,Party Supplies > Party Favours > Party Boxes
Party Supplies,Party Favours,Stickers,Party Supplies > Party Favours > Stickers
Party Supplies,Party Favours,Temporary Tattoos,Party Supplies > Party Favours > Temporary Tattoos
Party Supplies,Party Wares,Bibs,Party Supplies > Party Wares > Bibs
Party Supplies,Party Wares,Cutleries,Party Supplies > Party Wares > Cutleries
Party Supplies,Party Wares,Napkins,Party Supplies > Party Wares > Napkins
Party Supplies,Party Wares,Party Cups,Party Supplies > Party Wares > Party Cups
Party Supplies,Party Wares,Party Plates,Party Supplies > Party Wares > Party Plates
Party Supplies,Party Wares,Sticks,Party Supplies > Party Wares > Sticks
Party Supplies,Party Wares,Straws,Party Supplies > Party Wares > Straws
Party Supplies,Party Wares,Tableware,Party Supplies > Party Wares > Tableware
Party Supplies,Party Wares,Trash Bags,Party Supplies > Party Wares > Trash Bags
Personal Care & Household,Health & Fitness,,Personal Care & Household > Health & Fitness
Personal Care & Household,Household & Toys,,Personal Care & Household > Household & Toys
Personal Care & Household,Personal Care,,Personal Care & Household > Personal Care
Pet Supplies,Dry Food,,Pet Supplies > Dry Food
Pet Supplies,Pet Care,,Pet Supplies > Pet Care
Pet Supplies,Pet Toys,,Pet Supplies > Pet Toys
Pet Supplies,Pet Treats,,Pet Supplies > Pet Treats
Pet Supplies,Wet Food,,Pet Supplies > Wet Food
Popcorn,Paper Cans,,Popcorn > Paper Cans
Popcorn,Baby Cans,,Popcorn > Baby Cans
Popcorn,Giftbox Sets,,Popcorn > Giftbox Sets
Popular Items,,,Popular Items
Prepacked Food,,,Prepacked Food
Preserved Food,,,Preserved Food
Promotion,,,Promotion
Purchase with Purchase,,,Purchase with Purchase
Quick Bites,Onigiri,,Quick Bites > Onigiri
Quick Bites,Sandwiches,,Quick Bites > Sandwiches
Ready To Eat,Bakery,,Ready To Eat > Bakery
Ready To Eat,Instant Meals,,Ready To Eat > Instant Meals
Ready To Eat,Instant Porridge,,Ready To Eat > Instant Porridge
Ready To Eat,Ready to Eat Rice,,Ready To Eat > Ready to Eat Rice
Seasonal,,,Seasonal
Slurpee,,,Slurpee
Slurpee Deals,,,Slurpee Deals
Snacks,Cereal Bars,,Snacks > Cereal Bars
Snacks,"Chips, Crisps & Sticks",,"Snacks > Chips, Crisps & Sticks"
Snacks,Crackers,,Snacks > Crackers
Snacks,Dried Fruits,,Snacks > Dried Fruits
Snacks,Jellies & Puddings,,Snacks > Jellies & Puddings
Snacks,Nuts & Seeds,,Snacks > Nuts & Seeds
Snacks,Others Snacks,,Snacks > Others Snacks
Snacks,Seaweed,,Snacks > Seaweed
Stay Hygienic,,,Stay Hygienic
Sweet Treats,Desserts & Cakes,,Sweet Treats > Desserts & Cakes
Sweet Treats,Sofuto,,Sweet Treats > Sofuto
Tarts & Pastries,,,Tarts & Pastries
Valentine's Special,For Him (Valentine),,Valentine's Special > For Him (Valentine)
Valentine's Special,For Her (Valentine),,Valentine's Special > For Her (Valentine)
Valentine's Special,Valentine Flowers & Bouquet,,Valentine's Special > Valentine Flowers & Bouquet
Valentine's Special,Chocolate (Valentine Offer),,Valentine's Special > Chocolate (Valentine Offer)
Valentine's Special,Wine (Valentine Offer),,Valentine's Special > Wine (Valentine Offer)
Valentine's Special,Valentine Dessert,,Valentine's Special > Valentine Dessert
Valentine's Special,Valentine Gift Box,,Valentine's Special > Valentine Gift Box
Watsons Brand,,,Watsons Brand
Watsons Brand - Paper & Cotton,,,Watsons Brand - Paper & Cotton
Cat - Pet Supplies,Dry Cat Foods,,Cat - Pet Supplies > Dry Cat Foods
Cat - Pet Supplies,Wet Cat Foods,,Cat - Pet Supplies > Wet Cat Foods
Cat - Pet Supplies,Cat Care,,Cat - Pet Supplies > Cat Care
Cat - Pet Supplies,Cat Treats,,Cat - Pet Supplies > Cat Treats
Cat - Pet Supplies,Cat Toys,,Cat - Pet Supplies > Cat Toys
Dog - Pet Supplies,Dry Dog Foods,,Dog - Pet Supplies > Dry Dog Foods
Dog - Pet Supplies,Wet Dog Foods,,Dog - Pet Supplies > Wet Dog Foods
Dog - Pet Supplies,Dog Care,,Dog - Pet Supplies > Dog Care
Dog - Pet Supplies,Dog Treats,,Dog - Pet Supplies > Dog Treats
Dog - Pet Supplies,Dog Toys,,Dog - Pet Supplies > Dog Toys
Non-Halal Foods,,,Non-Halal Foods
Prayer Items,,,Prayer Items
Makeup & Cosmetics,Eye Makeup,Eyeshadow,Makeup & Cosmetics > Eye Makeup > Eyeshadow
Makeup & Cosmetics,Eye Makeup,Eyebrow Makeup,Makeup & Cosmetics > Eye Makeup > Eyebrow Makeup
Makeup & Cosmetics,Eye Makeup,Eyeliner,Makeup & Cosmetics > Eye Makeup > Eyeliner
Makeup & Cosmetics,Eye Makeup,Mascara,Makeup & Cosmetics > Eye Makeup > Mascara
Makeup & Cosmetics,Eye Makeup,Other Eye Makeup,Makeup & Cosmetics > Eye Makeup > Other Eye Makeup
Makeup & Cosmetics,Eye Makeup,Under Eye Concealer,Makeup & Cosmetics > Eye Makeup > Under Eye Concealer
Makeup & Cosmetics,Eye Makeup,Eye Primer,Makeup & Cosmetics > Eye Makeup > Eye Primer
Makeup & Cosmetics,Lip Makeup,Lipstick,Makeup & Cosmetics > Lip Makeup > Lipstick
Makeup & Cosmetics,Lip Makeup,Lip Gloss,Makeup & Cosmetics > Lip Makeup > Lip Gloss
Makeup & Cosmetics,Lip Makeup,Lip Tattoo,Makeup & Cosmetics > Lip Makeup > Lip Tattoo
Makeup & Cosmetics,Lip Makeup,Lip Cream,Makeup & Cosmetics > Lip Makeup > Lip Cream
Makeup & Cosmetics,Lip Makeup,Lip Balm,Makeup & Cosmetics > Lip Makeup > Lip Balm
Makeup & Cosmetics,Lip Makeup,Lip Liner,Makeup & Cosmetics > Lip Makeup > Lip Liner
Makeup & Cosmetics,Lip Makeup,Lip Tint,Makeup & Cosmetics > Lip Makeup > Lip Tint
Makeup & Cosmetics,Lip Makeup,Lip Palettes & Sets,Makeup & Cosmetics > Lip Makeup > Lip Palettes & Sets
Makeup & Cosmetics,Face Makeup,Face Foundation,Makeup & Cosmetics > Face Makeup > Face Foundation
Makeup & Cosmetics,Face Makeup,Face Powder,Makeup & Cosmetics > Face Makeup > Face Powder
Makeup & Cosmetics,Face Makeup,Face Concealer,Makeup & Cosmetics > Face Makeup > Face Concealer
Makeup & Cosmetics,Face Makeup,Face Blush,Makeup & Cosmetics > Face Makeup > Face Blush
Makeup & Cosmetics,Face Makeup,Face Highlighter,Makeup & Cosmetics > Face Makeup > Face Highlighter
Makeup & Cosmetics,Face Makeup,Face Primer,Makeup & Cosmetics > Face Makeup > Face Primer
Makeup & Cosmetics,Face Makeup,BB & CC Cream,Makeup & Cosmetics > Face Makeup > BB & CC Cream
Makeup & Cosmetics,Face Makeup,Contour & Bronzer,Makeup & Cosmetics > Face Makeup > Contour & Bronzer
Makeup & Cosmetics,Face Makeup,Setting Spray,Makeup & Cosmetics > Face Makeup > Setting Spray
Makeup & Cosmetics,Face Makeup,Palettes & Makeup Sets,Makeup & Cosmetics > Face Makeup > Palettes & Makeup Sets
Makeup & Cosmetics,Makeup Tools & Accessories,Makeup Tool,Makeup & Cosmetics > Makeup Tools & Accessories > Makeup Tool
Makeup & Cosmetics,Makeup Tools & Accessories,Makeup Brushes,Makeup & Cosmetics > Makeup Tools & Accessories > Makeup Brushes
Makeup & Cosmetics,Makeup Tools & Accessories,Hair Tool,Makeup & Cosmetics > Makeup Tools & Accessories > Hair Tool
Makeup & Cosmetics,Makeup Tools & Accessories,False Eyelashes,Makeup & Cosmetics > Makeup Tools & Accessories > False Eyelashes
Makeup & Cosmetics,Makeup Tools & Accessories,Beauty Blender & Sponge,Makeup & Cosmetics > Makeup Tools & Accessories > Beauty Blender & Sponge
Makeup & Cosmetics,Makeup Tools & Accessories,Beauty Organizer,Makeup & Cosmetics > Makeup Tools & Accessories > Beauty Organizer
Makeup & Cosmetics,Makeup Tools & Accessories,Brush Cleaner,Makeup & Cosmetics > Makeup Tools & Accessories > Brush Cleaner
Makeup & Cosmetics,Makeup Tools & Accessories,Vanity Mirror,Makeup & Cosmetics > Makeup Tools & Accessories > Vanity Mirror
Makeup & Cosmetics,Makeup Tools & Accessories,Makeup Sanitizer,Makeup & Cosmetics > Makeup Tools & Accessories > Makeup Sanitizer
Makeup & Cosmetics,Nails,Nail Art,Makeup & Cosmetics > Nails > Nail Art
Makeup & Cosmetics,Nails,Nail Polish,Makeup & Cosmetics > Nails > Nail Polish
Makeup & Cosmetics,Nails,Nail Care,Makeup & Cosmetics > Nails > Nail Care
Makeup & Cosmetics,Nails,Nail Polish Remover,Makeup & Cosmetics > Nails > Nail Polish Remover
Shopping Bag,Recycling Bag,,Shopping Bag > Recycling Bag
Shopping Bag,One-Time Use,,Shopping Bag > One-Time Use
